19:04:52 | INFO | peft_train | [3800/40000] loss=0.0348 lr_core=4.90e-04 lr_vlm=4.90e-04 (0.13s/it)
19:04:55 | INFO | peft_train | [3820/40000] loss=0.0401 lr_core=4.90e-04 lr_vlm=4.90e-04 (0.12s/it)
19:04:57 | INFO | peft_train | [3840/40000] loss=0.0298 lr_core=4.90e-04 lr_vlm=4.90e-04 (0.13s/it)
19:05:00 | INFO | peft_train | [3860/40000] loss=0.0309 lr_core=4.89e-04 lr_vlm=4.89e-04 (0.13s/it)
19:05:02 | INFO | peft_train | [3880/40000] loss=0.0288 lr_core=4.89e-04 lr_vlm=4.89e-04 (0.13s/it)
19:05:05 | INFO | peft_train | [3900/40000] loss=0.0391 lr_core=4.89e-04 lr_vlm=4.89e-04 (0.13s/it)
19:05:07 | INFO | peft_train | [3920/40000] loss=0.0317 lr_core=4.89e-04 lr_vlm=4.89e-04 (0.13s/it)
19:05:10 | INFO | peft_train | [3940/40000] loss=0.0310 lr_core=4.89e-04 lr_vlm=4.89e-04 (0.13s/it)
19:05:12 | INFO | peft_train | [3960/40000] loss=0.0380 lr_core=4.89e-04 lr_vlm=4.89e-04 (0.13s/it)
19:05:15 | INFO | peft_train | [3980/40000] loss=0.0331 lr_core=4.89e-04 lr_vlm=4.89e-04 (0.13s/it)
19:05:18 | INFO | peft_train | [4000/40000] loss=0.0379 lr_core=4.89e-04 lr_vlm=4.89e-04 (0.13s/it)
19:05:20 | INFO | peft_train | 📊 Eval [4000]: pos=0.0077 rot=0.0037
19:05:23 | INFO | peft_train | [4020/40000] loss=0.0308 lr_core=4.89e-04 lr_vlm=4.89e-04 (0.26s/it)
19:05:25 | INFO | peft_train | [4040/40000] loss=0.0320 lr_core=4.88e-04 lr_vlm=4.88e-04 (0.13s/it)
